"gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrezid"
"1556658_a_at",7.92499824182893,0.364786647000982,0.242471567235008,1.50445122766672,0.132465222444491,0.999989141093357,"1556658_a_at",NA
"1557051_s_at",7.7505174581073,0.238154155800971,0.242289421132723,0.982932538645644,0.325640642053986,0.999989141093357,"1557051_s_at",NA
"1557080_s_at",7.55537271173985,0.517910254387206,0.25632884315051,2.02049152183433,0.043332428678705,0.999989141093357,"1557080_s_at",NA
"1557690_x_at",8.78702213585597,-0.191915454487364,0.228335347307009,-0.840498226625082,0.400629095478155,0.999989141093357,"1557690_x_at",NA
"1557820_at",10.1393078238815,-0.0674111761995117,0.200881828542833,-0.335576277299456,0.73719041560376,0.999989141093357,"1557820_at",NA
"1557905_s_at",9.73135268749052,-0.16187522843384,0.203445769107082,-0.79566770616222,0.42622520190514,0.999989141093357,"1557905_s_at",NA
"1557910_at",11.5994983550204,-0.17325476181821,3.00481337534884,-0.0576590756815625,0.95402019230791,0.999989141093357,"1557910_at",NA
"1557915_s_at",10.4467771733697,0.0295822365459035,0.199741014396007,0.148102965409266,0.882261509198249,0.999989141093357,"1557915_s_at",NA
"1557938_s_at",9.11287277889063,0.220716065660006,0.219182129589057,1.0069984540885,0.313935517082856,0.999989141093357,"1557938_s_at",NA
"1557987_at",9.11558852172457,0.155116705978289,0.217369874225005,0.713607193873259,0.47547010792286,0.999989141093357,"1557987_at",NA
"1558034_s_at",7.20581482659358,0.205128316611917,0.255737538743476,0.802104836152647,0.422492317727884,0.999989141093357,"1558034_s_at",NA
"1558111_at",8.11226603973695,0.29553986652024,0.242660374730849,1.2179156438213,0.223256030723062,0.999989141093357,"1558111_at",NA
"1558426_x_at",9.76458136542444,0.0527897349229136,0.20710459610118,0.254894077276409,0.798804910865051,0.999989141093357,"1558426_x_at",NA
"1558511_s_at",8.76032969154752,0.0669021799231286,0.236527343021615,0.282851779707409,0.777290459866304,0.999989141093357,"1558511_s_at",NA
"1558515_at",8.71774844094556,0.0889968624667266,0.244581789689806,0.363873625177075,0.71595238057888,0.999989141093357,"1558515_at",NA
"1558641_at",10.3779083013861,-0.207456899851522,0.196267026529594,-1.0570135163292,0.290505418810502,0.999989141093357,"1558641_at",NA
"1558678_s_at",13.078717723193,0.0337504841635545,3.00435675959364,0.0112338469976247,0.991036875445938,0.999989141093357,"1558678_s_at",NA
"1558685_a_at",9.69243881474104,-0.143950071256846,0.205237283968075,-0.701383630077846,0.483063635170613,0.999989141093357,"1558685_a_at",NA
"1558688_at",11.003135807126,-0.070047454611164,0.355153977514171,-0.197231226583599,0.843646595251093,0.999989141093357,"1558688_at",NA
"1558695_at",8.67392326280223,0.0441293112272981,0.255117183897375,0.172976631966312,0.862669795717273,0.999989141093357,"1558695_at",NA
"1558836_at",8.16147625191505,0.232206048365637,0.249871968194061,0.929300113349632,0.352733576497565,0.999989141093357,"1558836_at",NA
"1558837_a_at",8.98023660179376,0.188729849841663,0.223732585716955,0.843551015319808,0.398920346856846,0.999989141093357,"1558837_a_at",NA
"1559167_x_at",9.83027295891493,-0.168771102318554,0.202274973035259,-0.834364725334236,0.404075488559925,0.999989141093357,"1559167_x_at",NA
"1559360_at",7.29011980883525,0.357752462368246,0.257362780047159,1.3900707099243,0.164507406521713,0.999989141093357,"1559360_at",NA
"1559425_at",8.16690021180466,0.195363070751164,0.25042232102928,0.780134414329312,0.435311761692647,0.999989141093357,"1559425_at",NA
"1559436_x_at",9.76651445189113,0.0231559804605161,0.206451328998781,0.112161934596472,0.910695010460435,0.999989141093357,"1559436_x_at",NA
"1559575_a_at",7.50428169227685,-0.594695301243167,0.234172009819957,-2.53956611509803,0.0110990065169066,0.999989141093357,"1559575_a_at",NA
"1559638_at",8.56419858896676,-0.253795155302023,0.304857907645005,-0.83250310698044,0.405125025176345,0.999989141093357,"1559638_at",NA
"1559870_at",8.16183266599038,-0.305606872673315,0.239760873891984,-1.27463196022131,0.202439539685112,0.999989141093357,"1559870_at",NA
"1559946_s_at",9.82121772908126,-0.0830569548503929,0.203811061947069,-0.407519366500153,0.68362657312139,0.999989141093357,"1559946_s_at",NA
"1560060_s_at",10.2731111577127,-0.0649352886777211,0.199593615847192,-0.32533750341712,0.74492564973421,0.999989141093357,"1560060_s_at",NA
"1560327_at",9.55564546710366,-0.118456286234317,0.248976538179999,-0.475772886474463,0.63423618820885,0.999989141093357,"1560327_at",NA
"1560339_s_at",9.44345796129618,0.0708861162483071,0.236857294580726,0.299277741788728,0.764728136227369,0.999989141093357,"1560339_s_at",NA
"1560587_s_at",11.9554624097259,-0.0547612555438206,3.00475643035785,-0.018224856760619,0.985459473100511,0.999989141093357,"1560587_s_at",NA
"1560622_at",9.44126091699367,0.101850269042288,0.236780981568984,0.430145480297433,0.667089818175758,0.999989141093357,"1560622_at",NA
"1560878_at",8.78706808221028,-0.19195725970875,0.228295283312206,-0.840828846412209,0.400443824390542,0.999989141093357,"1560878_at",NA
"1561937_x_at",8.63544700570595,-0.0339854594409558,0.267646129003081,-0.126979080801743,0.89895695561291,0.999989141093357,"1561937_x_at",NA
"1562321_at",7.38317641761442,-0.187384625296679,0.241843439739198,-0.774817896647322,0.438447272548788,0.999989141093357,"1562321_at",NA
"1564207_at",9.517640650838,-0.217126384467666,0.253164860477249,-0.857648190425615,0.391086756480369,0.999989141093357,"1564207_at",NA
"1564494_s_at",12.2102444252282,-0.26487879144228,3.00445156046294,-0.0881621108251337,0.929747831196988,0.999989141093357,"1564494_s_at",NA
"1564796_at",8.01241376063565,0.507984700750492,0.246004461386947,2.06494100914483,0.0389285822516423,0.999989141093357,"1564796_at",NA
"1565162_s_at",9.18544197205062,-0.117442328333618,0.21014706672212,-0.558857804515126,0.576258768663402,0.999989141093357,"1565162_s_at",NA
"1565228_s_at",7.49984908815471,-1.17898688499984,0.235368402745311,-5.009112825886,5.46815116774563e-07,0.00448224351220109,"1565228_s_at",NA
"1565666_s_at",6.00474831631461,-0.0221699917476973,0.340441156791297,-0.065121361813749,0.948077372263357,0.999989141093357,"1565666_s_at",NA
"1565717_s_at",8.98924313645142,0.0575719236825262,0.220338222795095,0.261288862877257,0.79386975447722,0.999989141093357,"1565717_s_at",NA
"1566303_s_at",9.04693735805643,-0.0585555541363515,0.216503208336228,-0.270460445303956,0.786806043402636,0.999989141093357,"1566303_s_at",NA
"1566509_s_at",9.05112427404753,-0.120969400740874,0.215179165397603,-0.562179895610942,0.573993457623104,0.999989141093357,"1566509_s_at",NA
"1566887_x_at",8.80633648279689,0.111565012278608,0.231839358935676,0.48121687702545,0.630362367170302,0.999989141093357,"1566887_x_at",NA
"1566956_at",9.83221136897782,-0.168771102301334,0.20227496676333,-0.834364751120204,0.404075474033683,0.999989141093357,"1566956_at",NA
"1566989_at",9.11211267337705,-0.262223708799596,0.209483730531072,-1.25176169115769,0.210656713165845,0.999989141093357,"1566989_at",NA
"1567107_s_at",8.2987240652693,0.194191836614623,0.330633613201349,0.587332409231979,0.556980478775042,0.999989141093357,"1567107_s_at",NA
